sector,size,is_outlier,d1_q1,d1_q2,d1_q3,d1_q4,d1_q5,d2_q1,d2_q2,d2_q3,d2_q4,d2_q5,d3_q1,d3_q2,d3_q3,d3_q4,d3_q5,d4_q1,d4_q2,d4_q3,d4_q4,d4_q5,d5_q1,d5_q2,d5_q3,d5_q4,d5_q5,dim_avg_data,dim_avg_talent,dim_avg_technology,dim_avg_strategy,dim_avg_processes,maturity_score
logistics,enterprise,False,1,2,2,1,2,3,2,2,3,3,2,2,1,3,2,3,3,3,2,3,3,4,2,3,5,1.6,2.6,2.0,2.8,3.4,2.3899999999999997
tech_software,medium,False,5,5,5,4,5,5,4,3,4,5,5,5,5,3,4,4,3,5,5,5,4,4,3,3,2,4.8,4.2,4.4,4.4,3.2,4.279999999999999
healthcare,small,False,2,3,3,3,5,2,3,2,4,3,2,1,2,3,3,3,2,3,5,3,4,2,3,3,3,3.2,2.8,2.2,3.2,3.0,2.8899999999999997
education,large,False,4,4,3,3,4,4,4,4,4,5,2,3,4,2,3,2,3,4,4,3,3,3,3,3,3,3.6,4.2,2.8,3.2,3.0,3.3900000000000006
fintech,medium,False,4,4,3,4,4,3,5,4,4,4,4,5,3,4,5,3,4,4,4,4,3,5,3,3,5,3.8,4.0,4.2,3.8,3.8,3.9199999999999995
retail_ecommerce,large,False,5,5,5,4,5,4,4,3,3,4,4,4,2,3,3,3,5,3,3,3,3,3,3,4,2,4.8,3.6,3.2,3.4,3.0,3.6900000000000004
professional_services,medium,False,2,2,3,3,3,3,4,4,2,4,4,3,2,4,2,4,4,4,3,3,2,3,4,1,3,2.6,3.4,3.0,3.6,2.6,3.0400000000000005
professional_services,small,True,3,3,4,2,2,3,4,3,3,3,5,4,4,5,3,2,2,2,2,1,1,2,2,3,3,2.8,3.2,4.2,1.8,2.2,2.87
healthcare,medium,False,2,2,3,3,2,3,2,2,3,3,3,4,2,2,2,3,1,3,2,3,4,3,4,4,3,2.4,2.6,2.6,2.4,3.6,2.66
retail_ecommerce,startup,False,3,3,3,3,2,3,3,3,3,4,3,2,3,3,2,3,3,2,3,3,1,2,1,2,2,2.8,3.2,2.6,2.8,1.6,2.66
professional_services,medium,False,3,3,2,2,4,3,3,2,1,2,3,3,3,3,3,3,3,2,1,4,5,3,2,3,4,2.8,2.2,3.0,2.6,3.4,2.7700000000000005
banking_insurance,startup,False,4,3,4,3,3,4,4,4,4,3,2,3,2,3,2,1,2,2,3,2,4,4,3,3,4,3.4,3.8,2.4,2.0,3.6,3.03
banking_insurance,enterprise,False,4,4,5,5,4,3,4,4,3,3,2,2,3,4,3,3,2,3,4,3,1,4,5,3,5,4.4,3.4,2.8,3.0,3.6,3.4800000000000004
tech_software,large,False,3,2,3,4,4,3,4,4,4,5,5,4,5,5,4,4,3,4,4,5,4,4,4,4,5,3.2,4.0,4.6,4.0,4.2,3.95
tech_software,medium,False,4,3,3,3,4,5,5,4,5,4,3,3,3,5,5,5,4,5,4,4,5,4,5,4,3,3.4,4.6,3.8,4.4,4.2,4.04
banking_insurance,large,False,5,5,4,4,5,1,4,5,2,3,2,2,3,3,2,3,3,5,3,3,3,4,5,3,2,4.6,3.0,2.4,3.4,3.4,3.42
banking_insurance,startup,False,4,4,4,4,4,2,2,1,1,1,3,3,3,4,4,3,3,3,3,3,1,4,3,2,3,4.0,1.4,3.4,3.0,2.6,2.95
fintech,startup,False,5,5,5,5,5,4,5,3,3,3,3,4,4,5,5,3,3,5,5,4,3,4,2,3,4,5.0,3.6,4.2,4.0,3.2,4.09
logistics,small,False,2,2,2,2,2,3,2,2,2,2,3,4,3,4,4,3,2,3,3,2,4,4,5,3,3,2.0,2.2,3.6,2.6,3.8,2.75
energy_utilities,large,False,2,1,2,2,2,3,3,3,3,3,2,1,2,2,2,3,3,3,4,4,4,4,4,4,2,1.8,3.0,1.8,3.4,3.6,2.6300000000000003
banking_insurance,medium,False,5,3,5,3,3,1,3,2,2,3,3,3,2,2,2,5,5,4,5,5,4,5,5,5,5,3.8,2.2,2.4,4.8,4.8,3.55
professional_services,enterprise,True,2,2,1,2,3,5,5,5,5,5,3,3,3,3,2,3,5,5,3,3,4,4,5,5,5,2.0,5.0,2.8,3.8,4.6,3.5100000000000002
manufacturing,large,False,3,3,1,1,3,1,2,1,2,1,3,4,1,2,1,3,2,2,2,3,3,5,4,3,5,2.2,1.4,2.2,2.4,4.0,2.35
banking_insurance,small,False,3,3,3,4,3,3,2,2,2,2,4,3,3,1,3,4,4,4,4,2,5,4,4,3,3,3.2,2.2,2.8,3.6,3.8,3.0900000000000003
banking_insurance,startup,False,1,3,2,2,2,3,2,4,4,3,2,2,4,2,4,3,3,2,3,4,3,4,4,3,4,2.0,3.2,2.8,3.0,3.6,2.8400000000000003
education,medium,False,4,3,4,5,3,2,2,4,3,4,2,3,2,2,2,2,4,2,3,2,2,3,4,3,2,3.8,3.0,2.2,2.6,2.8,2.93
fintech,medium,False,3,4,3,3,5,5,5,3,5,4,5,3,4,3,4,3,3,3,5,5,5,3,4,3,3,3.6,4.4,3.8,3.8,3.6,3.84
tech_software,startup,False,4,4,5,5,5,4,5,5,3,4,5,5,5,5,5,3,3,3,3,5,4,4,3,3,2,4.6,4.2,5.0,3.4,3.2,4.15
manufacturing,medium,False,3,2,2,1,2,3,4,3,4,2,3,3,2,2,1,4,3,3,2,3,4,4,2,3,2,2.0,3.2,2.2,3.0,3.0,2.63
education,startup,False,1,2,4,3,1,2,2,4,3,2,3,2,3,3,4,1,2,3,2,3,3,4,2,2,3,2.2,2.6,3.0,2.2,2.8,2.5300000000000002
tech_software,small,False,3,4,5,3,4,4,4,3,5,3,5,4,4,5,5,4,5,4,4,4,4,3,5,4,4,3.8,3.8,4.6,4.2,4.0,4.069999999999999
manufacturing,large,False,3,2,4,2,2,3,2,2,2,4,2,2,3,3,3,2,2,4,3,3,4,4,3,4,4,2.6,2.6,2.6,2.8,3.8,2.82
manufacturing,large,False,2,1,2,3,2,2,2,1,2,4,3,3,3,4,3,1,3,4,3,2,4,2,4,3,3,2.0,2.2,3.2,2.6,3.2,2.58
manufacturing,small,False,3,3,2,4,2,2,1,3,4,1,2,3,1,3,3,2,2,3,3,2,3,2,4,2,3,2.8,2.2,2.4,2.4,2.8,2.52
manufacturing,medium,False,5,4,4,3,3,1,3,1,3,2,2,2,3,2,2,4,4,3,4,3,4,3,5,3,5,3.8,2.0,2.2,3.6,4.0,3.1100000000000003
manufacturing,enterprise,False,3,3,3,5,3,1,3,3,4,2,3,3,3,2,4,4,4,4,3,5,3,4,5,5,3,3.4,2.6,3.0,4.0,4.0,3.3700000000000006
banking_insurance,startup,False,3,2,2,3,3,2,3,2,3,4,2,3,2,2,4,4,3,4,3,3,4,3,4,3,3,2.6,2.8,2.6,3.4,3.4,2.92
education,large,True,3,3,4,4,3,4,5,4,5,4,3,4,3,3,4,4,3,3,4,3,1,1,1,1,1,3.4,4.4,3.4,3.4,1.0,3.24
fintech,enterprise,False,5,4,5,5,5,5,5,5,5,4,3,4,4,3,4,4,4,3,4,5,4,3,4,4,3,4.8,4.8,3.6,4.0,3.6,4.220000000000001
education,large,False,3,2,4,3,3,5,3,3,3,2,2,2,3,2,2,2,2,1,1,1,2,3,3,4,3,3.0,3.2,2.2,1.4,3.0,2.5599999999999996
healthcare,startup,False,3,3,4,4,2,4,2,2,3,3,2,3,3,4,3,3,3,4,1,3,2,1,1,1,1,3.2,2.8,3.0,2.8,1.2,2.7
banking_insurance,small,False,3,4,4,4,2,2,2,2,4,4,2,2,3,3,1,1,2,1,2,2,4,4,3,4,4,3.4,2.8,2.2,1.6,3.8,2.7399999999999998
tech_software,large,False,5,5,4,5,5,5,5,5,5,4,5,5,5,4,3,3,4,4,5,4,4,4,4,3,3,4.8,4.8,4.4,4.0,3.6,4.38
professional_services,small,False,3,3,4,3,3,2,3,3,3,3,4,4,3,3,3,3,3,4,3,4,2,2,4,3,3,3.2,2.8,3.4,3.4,2.8,3.14
healthcare,startup,False,4,1,3,2,2,2,3,3,2,2,4,3,2,5,3,2,1,2,3,2,3,3,4,4,3,2.4,2.4,3.4,2.0,3.4,2.67
manufacturing,small,False,3,3,3,3,3,3,2,3,1,3,2,3,3,3,4,3,3,2,2,1,3,3,4,4,3,3.0,2.4,3.0,2.2,3.4,2.7800000000000002
energy_utilities,medium,False,2,4,1,3,3,2,1,2,2,3,4,2,2,2,4,1,3,2,2,1,4,4,4,4,4,2.6,2.0,2.8,1.8,4.0,2.57
retail_ecommerce,startup,False,4,3,3,5,3,2,4,3,4,2,3,4,3,3,2,5,4,4,3,5,4,3,2,4,3,3.6,3.0,3.0,4.2,3.2,3.4200000000000004
logistics,small,False,1,2,3,1,2,1,3,2,3,2,4,4,3,4,3,3,2,3,2,2,3,4,4,3,3,1.8,2.2,3.6,2.4,3.4,2.6000000000000005
manufacturing,enterprise,False,1,1,2,1,2,4,4,3,4,4,3,3,4,3,4,3,4,3,3,4,4,3,2,5,5,1.4,3.8,3.4,3.4,3.8,3.04
banking_insurance,medium,False,5,5,4,4,3,3,2,2,3,2,3,1,3,2,3,3,3,3,4,3,3,3,3,2,3,4.2,2.4,2.4,3.2,2.8,3.07
logistics,small,False,2,2,2,3,3,2,2,1,2,1,2,3,2,3,2,3,2,3,3,4,4,4,4,5,3,2.4,1.6,2.4,3.0,4.0,2.6
professional_services,large,False,4,3,2,2,3,2,3,2,3,3,4,4,3,3,3,2,3,2,1,2,3,3,4,5,4,2.8,2.6,3.4,2.0,3.8,2.8699999999999997
education,small,False,3,4,3,3,2,5,3,4,4,4,4,2,5,4,3,4,2,2,4,1,3,3,4,2,4,3.0,4.0,3.6,2.6,3.2,3.27
manufacturing,startup,False,1,1,2,1,2,3,3,2,2,2,2,1,2,2,2,2,3,1,1,2,2,2,2,2,2,1.4,2.4,1.8,1.8,2.0,1.85
manufacturing,medium,False,2,3,3,4,4,2,2,2,2,3,3,3,2,2,3,2,4,2,3,4,3,5,4,5,5,3.2,2.2,2.6,3.0,4.4,3.0200000000000005
banking_insurance,startup,False,2,5,3,5,4,5,3,4,4,5,3,4,2,3,3,4,5,4,4,5,2,4,3,3,4,3.8,4.2,3.0,4.4,3.2,3.7500000000000004
tech_software,startup,False,5,4,4,3,5,4,5,5,4,5,4,5,5,4,5,4,3,3,3,3,3,3,2,3,4,4.2,4.6,4.6,3.2,3.0,3.9799999999999995
manufacturing,large,False,3,1,3,3,3,1,1,1,1,2,2,2,2,2,4,2,2,4,2,1,5,3,5,4,4,2.6,1.2,2.4,2.2,4.2,2.44
tech_software,small,False,5,5,4,5,4,3,4,4,4,4,5,5,5,5,4,5,4,5,4,4,5,5,4,4,4,4.6,3.8,4.8,4.4,4.4,4.41
banking_insurance,small,False,4,3,3,3,2,4,2,2,4,3,3,2,3,3,3,4,3,3,3,4,4,3,3,3,2,3.0,3.0,2.8,3.4,3.0,3.04
manufacturing,startup,False,2,1,2,1,1,1,1,2,1,2,2,3,2,2,3,3,3,2,3,2,3,2,3,1,2,1.4,1.4,2.4,2.6,2.2,1.96
manufacturing,enterprise,False,3,3,3,4,3,3,2,2,3,3,2,2,2,2,2,4,3,3,3,2,4,3,3,5,3,3.2,2.6,2.0,3.0,3.6,2.8600000000000003
healthcare,medium,False,2,4,2,3,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,4,2,3,3,3,3.0,3.0,2.0,2.0,3.0,2.5999999999999996
retail_ecommerce,medium,False,3,2,3,4,4,4,4,4,3,2,3,3,4,2,4,3,4,5,3,3,2,2,3,2,3,3.2,3.4,3.2,3.6,2.4,3.2
manufacturing,startup,False,1,2,2,1,2,2,2,3,2,2,3,4,3,3,3,4,4,4,4,4,2,3,3,3,2,1.6,2.2,3.2,4.0,2.6,2.6700000000000004
banking_insurance,small,False,3,4,3,2,3,1,2,2,3,1,3,3,3,2,3,3,4,2,2,5,4,3,4,2,4,3.0,1.8,2.8,3.2,3.4,2.8200000000000003
manufacturing,medium,True,2,3,2,2,1,2,2,2,2,1,2,2,1,1,1,3,2,1,3,1,5,5,4,5,5,2.0,1.8,1.4,2.0,4.8,2.26
professional_services,medium,False,3,3,4,3,3,2,2,2,3,2,2,3,2,3,2,4,4,4,3,3,3,3,2,3,1,3.2,2.2,2.4,3.6,2.4,2.8000000000000003
tech_software,small,False,5,4,4,3,4,2,1,2,4,2,4,4,3,5,3,4,4,4,3,3,3,3,3,4,3,4.0,2.2,3.8,3.6,3.2,3.4000000000000004
banking_insurance,medium,False,2,4,4,4,3,4,3,4,4,5,2,2,1,4,3,4,5,4,3,3,2,3,3,3,2,3.4,4.0,2.4,3.8,2.6,3.28
manufacturing,large,False,3,3,3,3,4,2,3,3,2,2,2,2,2,2,3,4,4,1,4,3,4,4,4,4,4,3.2,2.4,2.2,3.2,4.0,2.9600000000000004
tech_software,small,False,5,4,4,5,4,5,5,4,5,4,4,3,3,4,4,3,5,5,4,5,3,3,5,3,3,4.4,4.6,3.6,4.4,3.4,4.13
manufacturing,startup,False,2,2,1,1,2,1,2,2,1,2,3,4,2,3,3,3,3,4,3,2,3,3,4,2,2,1.6,1.6,3.0,3.0,2.8,2.3400000000000003
banking_insurance,medium,False,4,4,4,4,3,2,3,3,2,3,1,1,1,2,1,1,2,3,1,2,3,2,3,2,2,3.8,2.6,1.2,1.8,2.4,2.4299999999999997
manufacturing,medium,False,1,2,3,2,2,3,2,2,3,3,3,2,3,2,3,1,1,1,1,2,3,4,2,3,3,2.0,2.6,2.6,1.2,3.0,2.23
retail_ecommerce,medium,False,3,2,2,3,4,1,3,4,3,4,3,2,3,3,2,4,5,4,5,4,4,4,3,4,2,2.8,3.0,2.6,4.4,3.4,3.21
manufacturing,medium,False,3,1,3,3,3,3,3,2,1,3,1,1,2,3,2,2,1,2,2,3,3,3,4,3,3,2.6,2.4,1.8,2.0,3.2,2.37
banking_insurance,startup,False,3,5,3,4,3,3,3,2,3,3,4,2,2,2,4,2,3,3,3,2,2,4,2,3,3,3.6,2.8,2.8,2.6,2.8,2.96
fintech,large,False,3,4,4,3,4,4,5,3,4,5,3,4,3,5,5,2,3,3,1,1,4,4,3,4,2,3.6,4.2,4.0,2.0,3.4,3.45
retail_ecommerce,small,False,5,5,5,3,4,3,4,3,3,4,3,3,3,3,3,3,2,2,3,3,4,3,3,3,3,4.4,3.4,3.0,2.6,3.2,3.3800000000000003
education,small,False,3,1,1,2,1,2,4,3,3,3,2,3,2,1,3,3,4,3,4,4,2,2,3,3,2,1.6,3.0,2.2,3.6,2.4,2.52
tech_software,medium,False,4,4,4,5,4,5,4,3,4,3,3,3,2,5,3,2,4,3,4,3,3,4,4,4,3,4.2,3.8,3.2,3.2,3.6,3.6300000000000003
retail_ecommerce,medium,False,4,3,5,4,4,2,1,2,3,3,3,2,2,5,3,5,3,3,4,3,4,3,3,3,3,4.0,2.2,3.0,3.6,3.2,3.24
manufacturing,small,False,2,2,2,2,2,3,3,3,3,2,5,2,3,3,5,1,2,2,2,3,5,3,4,2,4,2.0,2.8,3.6,2.0,3.6,2.72
logistics,small,False,3,3,3,4,2,2,1,2,1,1,3,3,3,3,3,2,2,2,2,2,2,3,2,3,4,3.0,1.4,3.0,2.0,2.8,2.45
professional_services,medium,False,3,3,2,3,2,3,3,3,3,4,4,4,3,2,4,2,2,1,2,1,3,4,4,3,2,2.6,3.2,3.4,1.6,3.2,2.77
banking_insurance,enterprise,False,3,4,3,3,4,5,4,4,4,5,5,3,3,2,2,5,4,5,5,5,3,3,4,3,2,3.4,4.4,3.0,4.8,3.0,3.74
tech_software,medium,False,4,3,4,3,2,5,4,5,4,3,5,3,5,5,5,3,3,3,3,3,3,3,2,3,3,3.2,4.2,4.6,3.0,2.8,3.58
tech_software,startup,False,4,5,5,5,4,4,5,5,4,5,3,4,4,4,5,3,4,5,4,4,2,2,3,3,3,4.6,4.6,4.0,4.0,2.6,4.06
retail_ecommerce,medium,False,3,2,3,3,3,2,4,2,3,3,4,4,4,3,4,3,4,3,3,3,4,3,4,3,5,2.8,2.8,3.8,3.2,3.8,3.2299999999999995
manufacturing,medium,False,1,1,2,1,1,4,3,2,3,2,4,3,2,3,2,2,3,3,3,3,4,4,4,4,4,1.2,2.8,2.8,2.8,4.0,2.58
manufacturing,large,False,2,1,3,2,1,2,2,3,2,3,4,3,3,3,2,3,3,3,3,3,4,3,3,4,4,1.8,2.4,3.0,3.0,3.6,2.67
manufacturing,small,False,3,3,3,3,3,3,3,1,3,2,3,2,3,2,2,3,2,2,2,2,4,5,4,4,4,3.0,2.4,2.4,2.2,4.2,2.78
manufacturing,enterprise,False,3,2,2,3,3,1,3,2,3,2,1,3,2,3,2,2,2,3,1,4,5,5,5,4,5,2.6,2.2,2.2,2.4,4.8,2.7300000000000004
fintech,small,False,5,3,5,4,4,4,3,4,3,3,2,2,5,5,4,3,3,4,3,3,2,2,2,2,1,4.2,3.4,3.6,3.2,1.8,3.3600000000000003
healthcare,startup,False,3,5,2,3,4,2,2,3,3,4,4,4,3,3,3,1,2,1,1,2,2,3,2,3,2,3.4,2.8,3.4,1.4,2.4,2.7299999999999995
banking_insurance,startup,False,4,3,3,4,3,3,2,3,2,2,3,4,4,3,4,3,3,4,4,3,4,3,3,4,4,3.4,2.4,3.6,3.4,3.6,3.2700000000000005
fintech,small,False,4,4,5,4,3,5,4,3,2,4,5,5,5,4,4,5,4,5,3,4,4,4,3,2,3,4.0,3.6,4.6,4.2,3.2,3.9600000000000004
tech_software,large,False,5,3,4,4,4,5,5,5,5,5,4,4,3,4,5,4,4,3,3,4,5,5,4,4,4,4.0,5.0,4.0,3.6,4.4,4.18
fintech,small,False,3,3,3,3,4,2,2,3,3,4,3,2,3,3,4,3,3,5,3,4,3,3,3,3,3,3.2,2.8,3.0,3.6,3.0,3.13
energy_utilities,startup,False,4,5,3,3,5,3,4,3,3,3,4,4,3,3,4,2,2,3,3,2,3,2,2,3,3,4.0,3.2,3.6,2.4,2.6,3.2300000000000004
energy_utilities,startup,False,1,3,4,4,1,1,1,1,1,2,3,2,3,1,2,1,1,1,1,1,3,3,3,3,3,2.6,1.2,2.2,1.0,3.0,1.98
tech_software,enterprise,False,4,5,5,5,5,4,4,4,1,4,5,5,5,5,5,3,4,3,3,3,5,4,5,3,4,4.8,3.4,5.0,3.2,4.2,4.15
manufacturing,startup,False,2,1,3,2,2,3,2,2,2,3,3,2,2,3,2,2,3,3,3,3,4,4,4,2,4,2.0,2.4,2.4,2.8,3.6,2.56
fintech,small,False,4,2,4,3,4,4,4,5,4,5,5,4,4,5,5,3,4,4,4,5,3,4,3,4,2,3.4,4.4,4.6,4.0,3.2,3.93
manufacturing,small,False,3,3,2,3,4,2,1,3,1,3,3,2,1,4,3,2,3,3,3,2,4,3,4,4,4,3.0,2.0,2.6,2.6,3.8,2.76
tech_software,large,False,5,3,4,4,3,5,5,5,4,4,4,5,3,4,3,4,5,4,4,5,4,5,3,5,4,3.8,4.6,3.8,4.4,4.2,4.14
fintech,enterprise,False,3,3,4,3,4,4,4,4,4,2,4,4,5,5,3,4,3,5,5,4,3,3,3,3,3,3.4,3.6,4.2,4.2,3.0,3.7
fintech,small,False,4,4,4,3,5,4,4,5,3,3,4,5,4,5,5,4,4,5,4,5,3,1,3,1,3,4.0,3.8,4.6,4.4,2.2,3.8899999999999997
retail_ecommerce,medium,False,1,2,2,3,3,4,3,1,3,4,4,3,2,2,4,2,2,3,2,2,4,3,3,2,5,2.2,3.0,3.0,2.2,3.4,2.7
banking_insurance,large,False,4,3,3,4,2,2,2,2,3,2,4,4,5,3,3,5,4,4,5,3,3,3,4,3,4,3.2,2.2,3.8,4.2,3.4,3.3499999999999996
retail_ecommerce,enterprise,False,4,2,3,2,4,2,2,3,3,3,4,4,3,3,4,5,5,5,4,5,4,3,3,3,4,3.0,2.6,3.6,4.8,3.4,3.46
manufacturing,medium,False,2,1,3,4,4,2,4,1,3,3,2,3,2,1,2,4,2,2,4,3,4,4,5,4,3,2.8,2.6,2.0,3.0,4.0,2.8200000000000003
healthcare,small,False,3,2,2,4,3,3,1,2,3,3,1,2,2,3,1,1,2,2,3,1,2,3,2,3,1,2.8,2.4,1.8,1.8,2.2,2.23
tech_software,enterprise,False,5,5,4,3,3,5,3,4,4,5,4,4,4,4,4,4,4,5,4,4,4,5,4,5,5,4.0,4.2,4.0,4.2,4.6,4.17
fintech,small,False,5,4,4,5,5,4,4,5,4,5,5,5,4,4,4,4,5,5,4,5,2,2,3,3,3,4.6,4.4,4.4,4.6,2.6,4.22
fintech,large,True,4,4,3,3,3,3,3,2,2,3,3,5,3,4,3,3,2,2,2,3,3,1,2,1,2,3.4,2.6,3.6,2.4,1.8,2.8400000000000003
manufacturing,medium,False,3,4,2,3,3,3,3,3,2,3,2,1,1,2,2,3,1,2,3,2,4,3,3,4,4,3.0,2.8,1.6,2.2,3.6,2.6100000000000003
energy_utilities,medium,False,2,2,3,4,2,2,3,2,2,1,2,3,2,2,2,3,3,3,3,4,3,4,3,4,4,2.6,2.0,2.2,3.2,3.6,2.6700000000000004
manufacturing,small,False,2,2,2,4,2,2,3,2,3,1,3,4,4,3,3,3,3,3,4,3,2,2,3,2,3,2.4,2.2,3.4,3.2,2.4,2.72
retail_ecommerce,small,False,3,3,2,4,1,3,3,3,4,4,2,4,2,4,3,3,3,3,3,3,4,3,3,3,3,2.6,3.4,3.0,3.0,3.2,3.0100000000000002
manufacturing,medium,False,4,3,4,3,4,1,2,1,1,1,3,4,5,4,2,3,3,2,2,3,5,3,4,5,4,3.6,1.2,3.6,2.6,4.2,3.0100000000000002
retail_ecommerce,medium,False,3,3,2,3,3,3,2,2,1,2,3,2,4,2,4,3,3,2,4,3,3,3,2,2,2,2.8,2.0,3.0,3.0,2.4,2.66
retail_ecommerce,small,False,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,3,2,2,3,5,4,4,3,3.0,3.0,3.2,2.2,3.8,3.0
logistics,small,False,2,1,2,2,1,3,2,2,2,2,2,3,2,2,4,3,3,3,2,3,2,1,3,2,2,1.6,2.2,2.6,2.8,2.0,2.2199999999999998
energy_utilities,startup,False,2,2,1,1,2,2,2,1,1,3,3,4,4,3,3,4,4,3,3,3,2,2,4,1,3,1.6,1.8,3.4,3.4,2.4,2.48
tech_software,medium,False,3,4,3,3,4,3,5,3,3,4,4,3,5,4,4,4,4,4,3,4,4,5,4,5,4,3.4,3.6,4.0,3.8,4.4,3.79
healthcare,small,False,2,2,2,3,2,2,1,1,1,3,3,2,2,2,2,2,2,3,3,3,4,3,4,3,5,2.2,1.6,2.2,2.6,3.8,2.4
manufacturing,startup,False,3,2,4,2,3,2,1,1,1,1,5,4,4,3,4,2,2,3,2,2,3,2,3,2,1,2.8,1.2,4.0,2.2,2.2,2.5100000000000002
manufacturing,startup,False,2,1,3,2,3,3,3,3,4,4,3,5,3,3,2,2,2,2,2,1,2,2,3,2,3,2.2,3.4,3.2,1.8,2.4,2.59
banking_insurance,enterprise,False,3,4,3,3,5,4,3,3,3,3,1,2,2,1,1,3,3,4,5,3,3,3,2,3,3,3.6,3.2,1.4,3.6,2.8,2.96
manufacturing,medium,False,2,4,3,4,2,2,2,3,3,3,3,2,3,1,1,3,1,3,3,3,2,3,3,2,2,3.0,2.6,2.0,2.6,2.4,2.55
fintech,startup,False,4,4,4,4,4,5,5,5,5,4,3,4,4,5,5,4,3,3,2,3,1,2,2,2,2,4.0,4.8,4.2,3.0,1.8,3.67
tech_software,small,False,5,5,5,4,4,4,5,5,5,5,5,5,4,4,5,4,5,5,5,5,4,5,2,3,4,4.6,4.8,4.6,4.8,3.6,4.529999999999999
professional_services,medium,False,3,4,4,4,2,2,3,5,4,3,3,3,2,3,2,3,3,4,2,2,4,2,3,4,4,3.4,3.4,2.6,2.8,3.4,3.12
logistics,startup,False,4,2,3,3,2,3,3,3,3,2,3,2,4,2,3,4,4,2,3,4,3,4,3,2,4,2.8,2.8,2.8,3.4,3.2,2.98
healthcare,medium,False,3,4,3,3,5,2,2,3,3,3,3,4,2,4,3,2,2,3,2,3,4,4,3,5,3,3.6,2.6,3.2,2.4,3.8,3.11
retail_ecommerce,small,False,3,4,2,4,3,2,2,1,2,1,3,2,4,2,2,4,4,4,4,5,3,4,3,4,4,3.2,1.6,2.6,4.2,3.6,3.0200000000000005
manufacturing,small,False,2,1,1,1,1,1,2,1,2,3,3,1,2,1,1,3,3,3,3,3,3,3,3,2,3,1.2,1.8,1.6,3.0,2.8,2.0
fintech,small,False,4,3,3,3,2,3,4,4,4,4,3,2,4,3,4,5,3,3,4,4,3,3,4,3,3,3.0,3.8,3.2,3.8,3.2,3.39
healthcare,medium,False,3,3,2,4,3,2,2,3,3,2,2,1,1,1,1,4,4,3,2,3,4,3,3,5,3,3.0,2.4,1.2,3.2,3.6,2.6500000000000004
banking_insurance,startup,False,3,4,3,2,3,4,3,3,2,3,4,2,3,3,3,4,4,4,3,3,3,3,4,4,4,3.0,3.0,3.0,3.6,3.6,3.2100000000000004
healthcare,large,False,2,4,3,4,4,3,3,3,2,2,3,3,2,2,3,3,2,3,4,3,4,4,4,4,2,3.4,2.6,2.6,3.0,3.6,3.0300000000000002
manufacturing,enterprise,False,3,2,2,3,2,2,3,3,3,2,1,3,2,3,2,3,2,2,4,2,5,5,5,5,5,2.4,2.6,2.2,2.6,5.0,2.83
energy_utilities,medium,False,2,2,3,2,2,3,1,2,3,2,4,2,2,3,4,2,3,3,2,2,4,5,3,4,4,2.2,2.2,3.0,2.4,4.0,2.6700000000000004
retail_ecommerce,small,False,4,4,5,5,5,2,2,2,2,2,3,4,4,3,5,2,1,3,1,2,3,2,2,2,2,4.6,2.0,3.8,1.8,2.2,2.9999999999999996
manufacturing,large,False,1,2,1,2,1,1,2,4,2,2,3,1,2,1,4,4,3,3,2,3,5,3,3,2,4,1.4,2.2,2.2,3.0,3.4,2.34
fintech,small,False,3,4,3,5,3,3,3,3,2,4,3,4,3,4,4,5,2,3,3,3,3,4,3,5,4,3.6,3.0,3.6,3.2,3.8,3.43
energy_utilities,medium,False,2,3,4,4,3,2,3,1,1,2,2,3,3,3,4,3,2,2,2,2,2,4,3,3,2,3.2,1.8,3.0,2.2,2.8,2.62
professional_services,medium,False,4,3,3,3,2,5,3,4,4,4,3,4,4,3,3,4,2,3,3,4,2,3,3,4,3,3.0,4.0,3.4,3.2,3.0,3.3200000000000003
banking_insurance,large,False,3,3,2,3,4,3,3,2,2,4,2,1,4,2,2,4,3,3,2,2,5,5,5,5,5,3.0,2.8,2.2,2.8,5.0,3.06
education,medium,False,4,4,3,2,4,4,3,3,3,3,1,2,3,2,2,2,3,3,3,4,1,3,3,2,3,3.4,3.2,2.0,3.0,2.4,2.85
retail_ecommerce,enterprise,False,5,4,4,5,5,3,4,4,4,4,3,4,3,3,3,5,4,5,5,3,2,5,4,4,4,4.6,3.8,3.2,4.4,3.8,3.9999999999999996
energy_utilities,startup,False,4,4,3,3,4,2,2,2,3,3,4,2,2,2,3,2,2,1,3,2,2,3,4,2,2,3.6,2.4,2.6,2.0,2.6,2.69
retail_ecommerce,medium,False,5,3,5,4,3,3,4,4,3,4,3,3,3,3,3,3,5,4,5,3,4,3,3,3,5,4.0,3.6,3.0,4.0,3.6,3.66
retail_ecommerce,large,False,3,3,4,1,2,2,3,2,4,3,2,4,3,3,2,2,3,5,4,4,1,2,1,1,1,2.6,2.8,2.8,3.6,1.2,2.6700000000000004
professional_services,medium,False,3,2,3,2,3,2,3,3,2,3,2,2,3,2,3,3,4,3,4,3,3,4,4,4,3,2.6,2.6,2.4,3.4,3.6,2.87
tech_software,enterprise,False,4,2,2,2,3,5,5,5,5,5,4,3,4,4,4,3,4,4,5,3,2,3,4,3,3,2.6,5.0,3.8,3.8,3.0,3.62
